number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
1,0,1,0.149254,0,0
2,0,1,0.297394,0,0
3,0,1,0.444428,0,0
4,0,1,0.590365,0,0
5,0,1,0.735213,0,0
6,0,1,0.87898,0,0
7,0,1,1.021674,0,0
8,0,1,1.163304,0,0
9,0,1,1.303876,0,0
10,0,1,1.443399,0,0
11,0,1,1.581881,0,0
12,0,1,1.71933,0,0
13,0,1,1.855753,0,0
14,0,1,1.991158,0,0
15,0,1,2.125552,0,0
16,0,1,2.258944,0,0
17,0,1,2.39134,0,0
18,0,1,2.522747,0,0
19,0,1,2.653175,0,0
20,0,1,2.782629,0,0
21,0,1,2.911116,0,0
22,0,1,3.038645,0,0
23,0,1,3.165223,0,0
24,0,1,3.290855,0,0
25,0,1,3.41555,0,0
26,0,1,3.539315,0,0
27,0,1,3.662156,0,0
28,0,1,3.78408,0,0
29,0,1,3.905094,0,0
30,0,1,4.025206,0,0
31,0,1,4.144421,0,0
32,0,1,4.262746,0,0
33,0,1,4.380188,0,0
34,0,1,4.496754,0,0
35,0,1,4.61245,0,0
36,0,1,4.727282,0,0
37,0,1,4.841258,0,0
38,0,1,4.954383,0,0
39,0,1,5.066663,0,0
40,0,1,5.178106,0,0
41,0,1,5.288717,0,0
42,0,1,5.398503,0,0
43,0,1,5.507469,0,0
44,0,1,5.615623,0,0
45,0,1,5.722969,0,0
46,0,1,5.829514,0,0
47,0,1,5.935264,0,0
48,0,1,6.040224,0,0
49,0,1,6.144402,0,0
50,0,1,6.247802,0,0
51,0,1,6.35043,0,0
52,0,1,6.452293,0,0
53,0,1,6.553395,0,0
54,0,1,6.653743,0,0
55,0,1,6.753342,0,0
56,0,1,6.852197,0,0
57,0,1,6.950315,0,0
58,0,1,7.047701,0,0
59,0,1,7.14436,0,0
60,0,1,7.240297,0,0
61,0,1,7.335519,0,0
62,0,1,7.43003,0,0
63,0,1,7.523836,0,0
64,0,1,7.616942,0,0
65,0,1,7.709352,0,0
66,0,1,7.801074,0,0
67,0,1,7.89211,0,0
68,0,1,7.982468,0,0
69,0,1,8.072151,0,0
70,0,1,8.161165,0,0
71,0,1,8.249514,0,0
72,0,1,8.337204,0,0
73,0,1,8.42424,0,0
74,0,1,8.510626,0,0
75,0,1,8.596368,0,0
76,0,1,8.68147,0,0
77,0,1,8.765936,0,0
78,0,1,8.849773,0,0
79,0,1,8.932983,0,0
80,0,1,9.015573,0,0
81,0,1,9.097546,0,0
82,0,1,9.178908,0,0
83,0,1,9.259662,0,0
84,0,1,9.339814,0,0
85,0,1,9.419368,0,0
86,0,1,9.498328,0,0
87,0,1,9.576698,0,0
88,0,1,9.654484,0,0
89,0,1,9.73169,0,0
90,1.00E-06,0.999999,9.808319,0,0
91,1.00E-06,0.999999,9.884376,0,0
92,1.00E-06,0.999999,9.959866,0,0
93,1.00E-06,0.999999,10.034792,0,0
94,1.00E-06,0.999999,10.109159,0,0
95,1.00E-06,0.999999,10.182972,0,0
96,1.00E-06,0.999999,10.256233,0,0
97,2.00E-06,0.999998,10.328948,0,0
98,2.00E-06,0.999998,10.40112,0,0
99,2.00E-06,0.999998,10.472753,0,0
100,2.00E-06,0.999998,10.543852,0,0
101,3.00E-06,0.999997,10.61442,0,0
102,3.00E-06,0.999997,10.684462,0,0
103,3.00E-06,0.999997,10.753981,0,0
104,4.00E-06,0.999996,10.822981,0,0
105,4.00E-06,0.999996,10.891466,1.00E-06,0.000001
106,5.00E-06,0.999995,10.95944,1.00E-06,0.000002
107,6.00E-06,0.999994,11.026907,1.00E-06,0.000003
108,7.00E-06,0.999993,11.093871,1.00E-06,0.000004
109,7.00E-06,0.999993,11.160334,1.00E-06,0.000005
110,8.00E-06,0.999992,11.226302,1.00E-06,0.000006
111,9.00E-06,0.999991,11.291777,1.00E-06,0.000007
112,1.10E-05,0.999989,11.356764,1.00E-06,0.000008
113,1.20E-05,0.999988,11.421266,1.00E-06,0.000009
114,1.30E-05,0.999987,11.485286,1.00E-06,0.00001
115,1.50E-05,0.999985,11.548829,2.00E-06,0.000012
116,1.70E-05,0.999983,11.611897,2.00E-06,0.000014
117,1.90E-05,0.999981,11.674495,2.00E-06,0.000016
118,2.10E-05,0.999979,11.736626,2.00E-06,0.000018
119,2.30E-05,0.999977,11.798293,2.00E-06,0.00002
120,2.60E-05,0.999974,11.859499,3.00E-06,0.000023
121,2.80E-05,0.999972,11.920249,3.00E-06,0.000026
122,3.10E-05,0.999969,11.980546,3.00E-06,0.000029
123,3.50E-05,0.999965,12.040393,3.00E-06,0.000032
124,3.80E-05,0.999962,12.099793,4.00E-06,0.000036
125,4.20E-05,0.999958,12.15875,4.00E-06,0.00004
126,4.70E-05,0.999953,12.217266,4.00E-06,0.000044
127,5.20E-05,0.999948,12.275347,5.00E-06,0.000049
128,5.70E-05,0.999943,12.332993,5.00E-06,0.000054
129,6.20E-05,0.999938,12.39021,6.00E-06,0.00006
130,6.80E-05,0.999932,12.446999,6.00E-06,0.000066
131,7.50E-05,0.999925,12.503365,7.00E-06,0.000073
132,8.20E-05,0.999918,12.55931,7.00E-06,0.00008
133,9.00E-05,0.99991,12.614837,8.00E-06,0.000088
134,9.80E-05,0.999902,12.669951,8.00E-06,0.000096
135,0.000107,0.999893,12.724652,9.00E-06,0.000105
136,0.000117,0.999883,12.778946,1.00E-05,0.000115
137,0.000128,0.999872,12.832835,1.00E-05,0.000125
138,0.000139,0.999861,12.886321,1.10E-05,0.000136
139,0.000151,0.999849,12.939408,1.20E-05,0.000148
140,0.000164,0.999836,12.992099,1.30E-05,0.000161
141,0.000178,0.999822,13.044397,1.40E-05,0.000175
142,0.000193,0.999807,13.096304,1.50E-05,0.00019
143,0.000209,0.999791,13.147824,1.60E-05,0.000206
144,0.000226,0.999774,13.19896,1.70E-05,0.000223
145,0.000244,0.999756,13.249714,1.80E-05,0.000241
146,0.000264,0.999736,13.300089,2.00E-05,0.000261
147,0.000285,0.999715,13.350089,2.10E-05,0.000282
148,0.000307,0.999693,13.399715,2.20E-05,0.000304
149,0.000331,0.999669,13.448971,2.40E-05,0.000328
150,0.000356,0.999644,13.497859,2.50E-05,0.000353
151,0.000383,0.999617,13.546382,2.70E-05,0.00038
152,0.000412,0.999588,13.594544,2.90E-05,0.000409
153,0.000443,0.999557,13.642346,3.00E-05,0.000439
154,0.000475,0.999525,13.689791,3.20E-05,0.000471
155,0.000509,0.999491,13.736882,3.40E-05,0.000505
156,0.000546,0.999454,13.783622,3.60E-05,0.000541
157,0.000584,0.999416,13.830012,3.90E-05,0.00058
158,0.000625,0.999375,13.876057,4.10E-05,0.000621
159,0.000668,0.999332,13.921758,4.30E-05,0.000664
160,0.000714,0.999286,13.967118,4.60E-05,0.00071
161,0.000762,0.999238,14.01214,4.80E-05,0.000758
162,0.000813,0.999187,14.056825,5.10E-05,0.000809
163,0.000866,0.999134,14.101177,5.40E-05,0.000863
164,0.000923,0.999077,14.145198,5.70E-05,0.00092
165,0.000983,0.999017,14.188891,6.00E-05,0.00098
166,0.001045,0.998955,14.232257,6.30E-05,0.001043
167,0.001112,0.998888,14.2753,6.60E-05,0.001109
168,0.001181,0.998819,14.318022,6.90E-05,0.001178
169,0.001254,0.998746,14.360425,7.30E-05,0.001251
170,0.001331,0.998669,14.402511,7.70E-05,0.001328
171,0.001411,0.998589,14.444283,8.10E-05,0.001409
172,0.001496,0.998504,14.485744,8.40E-05,0.001493
173,0.001584,0.998416,14.526895,8.90E-05,0.001582
174,0.001677,0.998323,14.567739,9.30E-05,0.001675
175,0.001774,0.998226,14.608279,9.70E-05,0.001772
176,0.001876,0.998124,14.648515,0.000102,0.001874
177,0.001983,0.998017,14.688452,0.000106,0.00198
178,0.002094,0.997906,14.72809,0.000111,0.002091
179,0.00221,0.99779,14.767433,0.000116,0.002207
180,0.002332,0.997668,14.806482,0.000122,0.002329
181,0.002459,0.997541,14.845239,0.000127,0.002456
182,0.002591,0.997409,14.883708,0.000132,0.002588
183,0.002729,0.997271,14.921889,0.000138,0.002726
184,0.002873,0.997127,14.959785,0.000144,0.00287
185,0.003023,0.996977,14.997399,0.00015,0.00302
186,0.003179,0.996821,15.034732,0.000156,0.003176
187,0.003342,0.996658,15.071786,0.000163,0.003339
188,0.003511,0.996489,15.108564,0.000169,0.003508
189,0.003687,0.996313,15.145067,0.000176,0.003684
190,0.00387,0.99613,15.181298,0.000183,0.003867
191,0.004059,0.995941,15.217258,0.00019,0.004057
192,0.004257,0.995743,15.25295,0.000197,0.004254
193,0.004461,0.995539,15.288376,0.000205,0.004459
194,0.004674,0.995326,15.323537,0.000212,0.004671
195,0.004894,0.995106,15.358436,0.00022,0.004891
196,0.005122,0.994878,15.393075,0.000228,0.005119
197,0.005359,0.994641,15.427455,0.000237,0.005356
198,0.005604,0.994396,15.461578,0.000245,0.005601
199,0.005858,0.994142,15.495447,0.000254,0.005855
200,0.006121,0.993879,15.529063,0.000263,0.006118
201,0.006392,0.993608,15.562429,0.000272,0.00639
202,0.006673,0.993327,15.595545,0.000281,0.006671
203,0.006964,0.993036,15.628414,0.00029,0.006961
204,0.007264,0.992736,15.661038,0.0003,0.007261
205,0.007574,0.992426,15.693418,0.00031,0.007571
206,0.007894,0.992106,15.725557,0.00032,0.007891
207,0.008224,0.991776,15.757455,0.00033,0.008221
208,0.008565,0.991435,15.789116,0.000341,0.008562
209,0.008916,0.991084,15.820541,0.000351,0.008913
210,0.009279,0.990721,15.851731,0.000362,0.009275
211,0.009652,0.990348,15.882688,0.000373,0.009648
212,0.010037,0.989963,15.913414,0.000385,0.010033
213,0.010433,0.989567,15.943911,0.000396,0.010429
214,0.010841,0.989159,15.97418,0.000408,0.010837
