number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
1,0,1,5,0,0
2,0,1,9.962687,0,0
3,0,1,14.888338,0,0
4,0,1,19.777231,0,0
5,0,1,24.62964,0,0
6,0,1,29.445837,0,0
7,0,1,34.226092,0,0
8,0,1,38.970673,0,0
9,0,1,43.679847,0,0
10,0,1,48.353878,0,0
11,0,1,52.993028,0,0
12,0,1,57.597558,0,0
13,0,1,62.167725,0,0
14,0,1,66.703787,0,0
15,0,1,71.205998,0,0
16,0,1,75.67461,0,0
17,0,1,80.109874,0,0
18,0,1,84.512039,0,0
19,0,1,88.881352,0,0
20,0,1,93.218058,0,0
21,0,1,97.522401,0,0
22,0,1,101.794622,0,0
23,0,1,106.034961,0,0
24,0,1,110.243655,0,0
25,0,1,114.420941,0,0
26,0,1,118.567054,0,0
27,0,1,122.682225,0,0
28,0,1,126.766686,0,0
29,0,1,130.820666,0,0
30,0,1,134.844392,0,0
31,0,1,138.838091,0,0
32,0,1,142.801986,0,0
33,0,1,146.736299,0,0
34,0,1,150.641252,0,0
35,0,1,154.517064,0,0
36,0,1,158.363951,0,0
37,0,1,162.182131,0,0
38,0,1,165.971816,0,0
39,0,1,169.733221,0,0
40,0,1,173.466555,0,0
41,0,1,177.172028,0,0
42,0,1,180.849849,0,0
43,0,1,184.500223,0,0
44,0,1,188.123356,0,0
45,0,1,191.71945,0,0
46,0,1,195.288708,0,0
47,0,1,198.83133,0,0
48,0,1,202.347514,0,0
49,0,1,205.837458,0,0
50,0,1,209.301357,0,0
51,0,1,212.739407,0,0
52,0,1,216.151799,0,0
53,0,1,219.538726,0,0
54,0,1,222.900377,0,0
55,0,1,226.236942,0,0
56,0,1,229.548606,0,0
57,0,1,232.835557,0,0
58,0,1,236.097978,0,0
59,0,1,239.336053,0,0
60,0,1,242.549963,0,0
61,0,1,245.739889,0,0
62,0,1,248.906009,0,0
63,0,1,252.048502,0,0
64,0,1,255.167543,0,0
65,0,1,258.263307,0,0
66,0,1,261.335969,0,0
67,0,1,264.385701,0,0
68,0,1,267.412673,0,0
69,0,1,270.417056,0,0
70,0,1,273.399018,0,0
71,0,1,276.358727,0,0
72,0,1,279.296349,0,0
73,0,1,282.212047,0,0
74,0,1,285.105987,0,0
